stud_id,lv_id,note,Semester,LV Name,ECTS,Kategorie,vorname,nachname,geschlecht,schulabschluss
0,1,2,1,Einführung in die Datenanalyse,5,1,Lubomir,Bacher,M,AHS
0,2,3,1,Einführung in die Ökonomie,2,1,Lubomir,Bacher,M,AHS
0,3,3,1,Grundlagen der Mathematik,5,2,Lubomir,Bacher,M,AHS
0,4,3,1,Grundlagen der Statistik,5,2,Lubomir,Bacher,M,AHS
0,5,3,1,Grundlagen des Programmierens,5,3,Lubomir,Bacher,M,AHS
0,6,4,1,Grundzüge der Informatik,5,3,Lubomir,Bacher,M,AHS
0,7,2,1,"Organisation, Marketing und Vertrieb",3,1,Lubomir,Bacher,M,AHS
0,8,3,2,Angewandte Statistik,5,2,Lubomir,Bacher,M,AHS
0,9,3,2,Datenanalysewerkzeuge,5,1,Lubomir,Bacher,M,AHS
0,10,3,2,Datenbanktechnologien,5,3,Lubomir,Bacher,M,AHS
0,11,2,2,Ethik und Recht,5,1,Lubomir,Bacher,M,AHS
0,12,4,2,Programmieren für Data Scientists,5,3,Lubomir,Bacher,M,AHS
0,13,2,2,Wissenschaftliches Arbeiten,5,1,Lubomir,Bacher,M,AHS
0,14,4,3,Artificial Intelligence,3,3,Lubomir,Bacher,M,AHS
0,15,3,3,Data Governance & Protection,4,1,Lubomir,Bacher,M,AHS
0,16,3,3,Data Mining & Machine Learning,8,2,Lubomir,Bacher,M,AHS
0,17,3,3,VT BA: Business Intelligence,6,1,Lubomir,Bacher,M,AHS
0,18,3,3,VT BA: Digital Business,4,1,Lubomir,Bacher,M,AHS
0,19,3,3,VT BA: Management & Controlling,5,1,Lubomir,Bacher,M,AHS
0,20,3,4,Computer Vision & Natural Language Processing,5,3,Lubomir,Bacher,M,AHS
0,21,2,4,Datenvisualisierung / Visual Analytics,5,1,Lubomir,Bacher,M,AHS
0,22,3,4,Vertiefungsseminar,10,1,Lubomir,Bacher,M,AHS
1,1,2,1,Einführung in die Datenanalyse,5,1,Mohmed,Burger,M,Sonstige
1,2,3,1,Einführung in die Ökonomie,2,1,Mohmed,Burger,M,Sonstige
1,3,2,1,Grundlagen der Mathematik,5,2,Mohmed,Burger,M,Sonstige
1,4,4,1,Grundlagen der Statistik,5,2,Mohmed,Burger,M,Sonstige
1,5,4,1,Grundlagen des Programmierens,5,3,Mohmed,Burger,M,Sonstige
1,6,3,1,Grundzüge der Informatik,5,3,Mohmed,Burger,M,Sonstige
1,7,4,1,"Organisation, Marketing und Vertrieb",3,1,Mohmed,Burger,M,Sonstige
1,8,4,2,Angewandte Statistik,5,2,Mohmed,Burger,M,Sonstige
1,9,3,2,Datenanalysewerkzeuge,5,1,Mohmed,Burger,M,Sonstige
1,10,3,2,Datenbanktechnologien,5,3,Mohmed,Burger,M,Sonstige
1,11,2,2,Ethik und Recht,5,1,Mohmed,Burger,M,Sonstige
1,12,2,2,Programmieren für Data Scientists,5,3,Mohmed,Burger,M,Sonstige
1,13,4,2,Wissenschaftliches Arbeiten,5,1,Mohmed,Burger,M,Sonstige
1,14,2,3,Artificial Intelligence,3,3,Mohmed,Burger,M,Sonstige
1,15,2,3,Data Governance & Protection,4,1,Mohmed,Burger,M,Sonstige
1,16,3,3,Data Mining & Machine Learning,8,2,Mohmed,Burger,M,Sonstige
1,17,4,3,VT BA: Business Intelligence,6,1,Mohmed,Burger,M,Sonstige
1,18,3,3,VT BA: Digital Business,4,1,Mohmed,Burger,M,Sonstige
